Datetime,temperature(°C),temperature(°F),humidity(%),pressure(hPa)
06:43:56 15/01/2024, 15.35, 59.63, 58.95, 984.60
06:44:06 15/01/2024, 15.36, 59.64, 58.96, 984.56
06:44:16 15/01/2024, 15.35, 59.63, 58.95, 984.71
06:44:26 15/01/2024, 15.35, 59.63, 58.97, 984.63
06:44:36 15/01/2024, 15.34, 59.62, 58.96, 984.64
06:44:46 15/01/2024, 15.34, 59.62, 58.96, 984.59
06:44:56 15/01/2024, 15.35, 59.63, 58.96, 984.65
06:45:06 15/01/2024, 15.35, 59.63, 58.96, 984.66
06:45:16 15/01/2024, 15.34, 59.62, 58.97, 984.67
06:45:26 15/01/2024, 15.34, 59.62, 58.95, 984.70
06:45:36 15/01/2024, 15.34, 59.62, 58.95, 984.67
06:45:46 15/01/2024, 15.34, 59.62, 58.98, 984.62
06:45:56 15/01/2024, 15.34, 59.62, 58.97, 984.64
06:46:06 15/01/2024, 15.33, 59.60, 58.99, 984.66
06:46:16 15/01/2024, 15.34, 59.61, 58.98, 984.64
06:46:26 15/01/2024, 15.33, 59.60, 58.97, 984.66
06:46:36 15/01/2024, 15.33, 59.60, 58.98, 984.68
06:46:46 15/01/2024, 15.34, 59.61, 58.96, 984.58
06:46:56 15/01/2024, 15.34, 59.61, 58.96, 984.66
06:47:06 15/01/2024, 15.34, 59.61, 58.95, 984.69
06:47:16 15/01/2024, 15.34, 59.61, 58.95, 984.50
06:47:26 15/01/2024, 15.34, 59.61, 58.95, 984.55
06:47:36 15/01/2024, 15.33, 59.59, 58.97, 984.45
06:47:46 15/01/2024, 15.35, 59.63, 58.98, 984.54
06:47:56 15/01/2024, 15.36, 59.64, 58.96, 984.59
06:48:07 15/01/2024, 15.38, 59.69, 59.36, 984.60
06:48:17 15/01/2024, 15.40, 59.73, 59.45, 984.44
06:48:27 15/01/2024, 15.43, 59.78, 59.54, 984.54
06:48:37 15/01/2024, 15.44, 59.79, 59.44, 984.49
06:48:47 15/01/2024, 15.47, 59.85, 59.44, 984.47
06:48:57 15/01/2024, 15.51, 59.92, 59.61, 984.58
06:49:07 15/01/2024, 15.55, 59.98, 59.48, 984.47
06:49:17 15/01/2024, 15.57, 60.02, 59.30, 984.50
06:49:27 15/01/2024, 15.59, 60.06, 59.39, 984.51
06:49:37 15/01/2024, 15.59, 60.06, 59.29, 984.56
06:49:47 15/01/2024, 15.61, 60.09, 59.23, 984.51
06:49:57 15/01/2024, 15.62, 60.11, 59.19, 984.53
06:50:07 15/01/2024, 15.62, 60.11, 59.18, 984.47
06:50:17 15/01/2024, 15.63, 60.13, 59.16, 984.60
06:50:27 15/01/2024, 15.64, 60.15, 59.16, 984.53
06:50:37 15/01/2024, 15.63, 60.14, 59.16, 984.42
06:50:47 15/01/2024, 15.63, 60.13, 59.14, 984.44
06:50:57 15/01/2024, 15.63, 60.13, 59.15, 984.52
06:51:07 15/01/2024, 15.63, 60.13, 59.16, 984.55
06:51:17 15/01/2024, 15.63, 60.13, 59.16, 984.57
06:51:27 15/01/2024, 15.62, 60.11, 59.17, 984.45
06:51:37 15/01/2024, 15.61, 60.09, 59.18, 984.46
06:51:47 15/01/2024, 15.60, 60.07, 59.20, 984.50
06:51:57 15/01/2024, 15.59, 60.07, 59.23, 984.54
06:52:07 15/01/2024, 15.59, 60.06, 59.24, 984.54
06:52:17 15/01/2024, 15.58, 60.04, 59.27, 984.52
06:52:27 15/01/2024, 15.58, 60.04, 59.29, 984.49
06:52:37 15/01/2024, 15.56, 60.01, 59.28, 984.52
06:52:47 15/01/2024, 15.56, 60.00, 59.33, 984.54
06:52:57 15/01/2024, 15.55, 59.98, 59.36, 984.53
06:53:07 15/01/2024, 15.53, 59.96, 59.39, 984.61
06:53:17 15/01/2024, 15.53, 59.95, 59.41, 984.52
06:53:28 15/01/2024, 15.53, 59.95, 59.40, 984.55
06:53:38 15/01/2024, 15.52, 59.93, 59.39, 984.48
06:53:48 15/01/2024, 15.52, 59.93, 59.45, 984.56
06:53:58 15/01/2024, 15.52, 59.93, 59.47, 984.56
06:54:08 15/01/2024, 15.51, 59.91, 59.46, 984.54
06:54:18 15/01/2024, 15.49, 59.88, 59.51, 984.55
06:54:28 15/01/2024, 15.49, 59.88, 59.53, 984.52
06:54:38 15/01/2024, 15.47, 59.85, 59.54, 984.55
06:54:48 15/01/2024, 15.47, 59.85, 59.56, 984.55
06:54:58 15/01/2024, 15.46, 59.84, 59.55, 984.51
06:55:08 15/01/2024, 15.45, 59.82, 59.62, 984.49
06:55:18 15/01/2024, 15.46, 59.83, 59.66, 984.50
06:55:28 15/01/2024, 15.44, 59.79, 59.68, 984.47
06:55:38 15/01/2024, 15.44, 59.80, 59.69, 984.50
06:55:48 15/01/2024, 15.43, 59.78, 59.68, 984.49
06:55:58 15/01/2024, 15.42, 59.76, 59.72, 984.55
06:56:08 15/01/2024, 15.41, 59.74, 59.75, 984.56
06:56:18 15/01/2024, 15.41, 59.74, 59.75, 984.58
06:56:28 15/01/2024, 15.41, 59.74, 59.77, 984.51
06:56:38 15/01/2024, 15.40, 59.73, 59.79, 984.55
06:56:48 15/01/2024, 15.40, 59.72, 59.79, 984.54
06:56:58 15/01/2024, 15.39, 59.71, 59.81, 984.56
06:57:08 15/01/2024, 15.39, 59.71, 59.79, 984.56
06:57:18 15/01/2024, 15.39, 59.70, 59.80, 984.55
06:57:28 15/01/2024, 15.38, 59.69, 59.81, 984.57
06:57:38 15/01/2024, 15.38, 59.69, 59.81, 984.54
06:57:48 15/01/2024, 15.37, 59.67, 59.83, 984.47
06:57:58 15/01/2024, 15.36, 59.64, 59.81, 984.53
06:58:08 15/01/2024, 15.37, 59.67, 59.83, 984.58
06:58:18 15/01/2024, 15.36, 59.65, 59.83, 984.40
06:58:28 15/01/2024, 15.36, 59.64, 59.85, 984.53
06:58:38 15/01/2024, 15.36, 59.65, 59.87, 984.48
06:58:49 15/01/2024, 15.35, 59.63, 59.87, 984.58
06:58:59 15/01/2024, 15.35, 59.63, 59.88, 984.54
06:59:09 15/01/2024, 15.35, 59.63, 59.88, 984.43
06:59:19 15/01/2024, 15.35, 59.63, 59.88, 984.43
06:59:29 15/01/2024, 15.35, 59.63, 59.88, 984.51
06:59:39 15/01/2024, 15.08, 59.14, 59.86, 984.06
06:59:49 15/01/2024, 15.35, 59.63, 59.88, 984.54
06:59:59 15/01/2024, 15.34, 59.61, 59.88, 984.42
07:00:09 15/01/2024, 15.33, 59.60, 59.89, 984.46
07:00:19 15/01/2024, 15.33, 59.59, 59.89, 984.43
07:00:29 15/01/2024, 15.34, 59.62, 59.89, 984.51
07:00:39 15/01/2024, 15.34, 59.61, 59.89, 984.53
07:00:49 15/01/2024, 15.35, 59.63, 59.88, 984.54
07:00:59 15/01/2024, 15.34, 59.62, 59.86, 984.48
07:01:09 15/01/2024, 15.34, 59.61, 59.88, 984.44
07:01:19 15/01/2024, 15.35, 59.63, 59.86, 984.55
07:01:29 15/01/2024, 15.35, 59.63, 59.85, 984.57
07:01:39 15/01/2024, 15.34, 59.62, 59.85, 984.53
07:01:49 15/01/2024, 15.34, 59.62, 59.84, 984.53
07:01:59 15/01/2024, 15.33, 59.60, 59.83, 984.52
07:02:09 15/01/2024, 15.34, 59.62, 59.86, 984.56
07:02:19 15/01/2024, 15.33, 59.60, 59.88, 984.63
07:02:29 15/01/2024, 15.33, 59.60, 59.88, 984.55
07:02:39 15/01/2024, 15.33, 59.60, 59.89, 984.63
07:02:49 15/01/2024, 15.32, 59.58, 59.89, 984.58
07:02:59 15/01/2024, 15.32, 59.57, 59.89, 984.58
07:03:09 15/01/2024, 15.32, 59.58, 59.90, 984.56
07:03:19 15/01/2024, 15.32, 59.58, 59.88, 984.56
07:03:29 15/01/2024, 15.33, 59.59, 59.90, 984.65
07:03:39 15/01/2024, 15.33, 59.59, 59.92, 984.51
07:03:49 15/01/2024, 15.33, 59.60, 59.92, 984.55
07:03:59 15/01/2024, 15.33, 59.60, 59.89, 984.63
07:04:09 15/01/2024, 15.32, 59.58, 59.88, 984.50
07:04:20 15/01/2024, 15.32, 59.58, 59.88, 984.53
07:04:30 15/01/2024, 15.33, 59.60, 59.85, 984.49
07:04:40 15/01/2024, 15.01, 59.02, 59.82, 984.04
07:04:50 15/01/2024, 15.34, 59.62, 59.83, 984.64
07:05:00 15/01/2024, 15.34, 59.61, 59.80, 984.55
07:05:10 15/01/2024, 15.35, 59.63, 59.81, 984.52
07:05:20 15/01/2024, 15.35, 59.63, 59.80, 984.54
07:05:30 15/01/2024, 15.35, 59.63, 59.77, 984.55
07:05:40 15/01/2024, 15.36, 59.64, 59.77, 984.61
07:05:50 15/01/2024, 15.37, 59.67, 59.74, 984.58
07:06:00 15/01/2024, 15.37, 59.67, 59.72, 984.64
07:06:10 15/01/2024, 15.38, 59.69, 59.67, 984.63
07:06:20 15/01/2024, 15.38, 59.69, 59.65, 984.60
07:06:30 15/01/2024, 15.39, 59.71, 59.63, 984.67
07:06:40 15/01/2024, 15.40, 59.73, 59.62, 984.60
07:06:50 15/01/2024, 15.41, 59.74, 59.60, 984.65
07:07:00 15/01/2024, 15.42, 59.76, 59.59, 984.58
07:07:10 15/01/2024, 15.42, 59.75, 59.55, 984.65
07:07:20 15/01/2024, 15.44, 59.79, 59.51, 984.63
07:07:30 15/01/2024, 15.45, 59.82, 59.48, 984.57
07:07:40 15/01/2024, 15.45, 59.82, 59.44, 984.66
07:07:50 15/01/2024, 15.47, 59.85, 59.42, 984.61
07:08:00 15/01/2024, 15.48, 59.87, 59.39, 984.65
07:08:10 15/01/2024, 15.51, 59.91, 59.32, 984.60
07:08:20 15/01/2024, 15.53, 59.95, 59.27, 984.66
07:08:30 15/01/2024, 15.56, 60.00, 59.18, 984.65
07:08:40 15/01/2024, 15.57, 60.02, 59.12, 984.61
07:08:50 15/01/2024, 15.58, 60.04, 59.11, 984.60
07:09:00 15/01/2024, 15.60, 60.08, 59.02, 984.56
07:09:10 15/01/2024, 15.64, 60.15, 58.94, 984.73
07:09:20 15/01/2024, 15.67, 60.20, 58.86, 984.64
07:09:30 15/01/2024, 15.68, 60.22, 58.81, 984.57
07:09:41 15/01/2024, 15.70, 60.27, 58.74, 984.61
07:09:51 15/01/2024, 15.73, 60.31, 58.67, 984.62
07:10:01 15/01/2024, 15.74, 60.33, 58.62, 984.69
07:10:11 15/01/2024, 15.75, 60.36, 58.60, 984.69
07:10:21 15/01/2024, 15.77, 60.39, 58.54, 984.66
07:10:31 15/01/2024, 15.77, 60.39, 58.53, 984.61
07:10:41 15/01/2024, 15.80, 60.43, 58.48, 984.67
07:10:51 15/01/2024, 15.81, 60.45, 58.43, 984.66
07:11:01 15/01/2024, 15.83, 60.50, 58.40, 984.65
07:11:11 15/01/2024, 15.85, 60.53, 58.33, 984.62
07:11:21 15/01/2024, 15.87, 60.56, 58.29, 984.65
07:11:31 15/01/2024, 15.88, 60.59, 58.24, 984.73
07:11:41 15/01/2024, 15.90, 60.61, 58.17, 984.67
07:11:51 15/01/2024, 15.91, 60.64, 58.16, 984.67
07:12:01 15/01/2024, 15.92, 60.66, 58.12, 984.60
07:12:11 15/01/2024, 15.94, 60.70, 58.09, 984.66
07:12:21 15/01/2024, 15.95, 60.71, 58.07, 984.67
07:12:31 15/01/2024, 15.95, 60.72, 58.04, 984.68
07:12:41 15/01/2024, 15.97, 60.75, 58.02, 984.62
07:12:51 15/01/2024, 15.98, 60.77, 57.95, 984.64
07:13:01 15/01/2024, 16.00, 60.80, 57.92, 984.75
07:13:11 15/01/2024, 16.02, 60.83, 57.88, 984.67
07:13:21 15/01/2024, 16.02, 60.84, 57.84, 984.65
07:13:31 15/01/2024, 16.04, 60.88, 57.80, 984.74
07:13:41 15/01/2024, 16.06, 60.91, 57.79, 984.65
07:13:51 15/01/2024, 16.07, 60.93, 57.73, 984.70
07:14:01 15/01/2024, 16.10, 60.97, 57.69, 984.74
07:14:11 15/01/2024, 16.11, 60.99, 57.64, 984.72
07:14:21 15/01/2024, 16.12, 61.01, 57.61, 984.66
07:14:31 15/01/2024, 16.13, 61.04, 57.56, 984.68
07:14:41 15/01/2024, 16.15, 61.06, 57.51, 984.62
07:14:52 15/01/2024, 16.16, 61.09, 57.48, 984.67
07:15:02 15/01/2024, 16.17, 61.10, 57.44, 984.68
07:15:12 15/01/2024, 16.19, 61.14, 57.39, 984.63
07:15:22 15/01/2024, 16.19, 61.14, 57.38, 984.63
07:15:32 15/01/2024, 16.19, 61.14, 57.35, 984.66
07:15:42 15/01/2024, 16.19, 61.14, 57.33, 984.69
07:15:52 15/01/2024, 16.20, 61.16, 57.32, 984.62
07:16:02 15/01/2024, 16.21, 61.18, 57.30, 984.59
07:16:12 15/01/2024, 16.23, 61.22, 57.28, 984.65
07:16:22 15/01/2024, 16.23, 61.21, 57.26, 984.67
07:16:32 15/01/2024, 16.24, 61.23, 57.24, 984.58
07:16:42 15/01/2024, 16.25, 61.25, 57.23, 984.65
07:16:52 15/01/2024, 16.27, 61.28, 57.18, 984.60
07:17:02 15/01/2024, 16.27, 61.29, 57.14, 984.58
07:17:12 15/01/2024, 16.26, 61.27, 57.13, 984.59
07:17:22 15/01/2024, 16.27, 61.28, 57.14, 984.57
07:17:32 15/01/2024, 16.28, 61.30, 57.13, 984.56
07:17:42 15/01/2024, 16.28, 61.31, 57.09, 984.57
07:17:52 15/01/2024, 16.28, 61.31, 57.07, 984.57
07:18:02 15/01/2024, 16.30, 61.34, 57.04, 984.62
07:18:12 15/01/2024, 16.31, 61.36, 57.02, 984.63
07:18:22 15/01/2024, 16.31, 61.36, 57.01, 984.63
07:18:32 15/01/2024, 16.31, 61.37, 56.98, 984.53
07:18:42 15/01/2024, 16.32, 61.38, 56.95, 984.60
07:18:52 15/01/2024, 16.33, 61.39, 56.96, 984.61
07:19:02 15/01/2024, 16.33, 61.40, 56.93, 984.56
07:19:12 15/01/2024, 16.35, 61.43, 56.88, 984.59
07:19:22 15/01/2024, 16.37, 61.46, 56.87, 984.61
07:19:32 15/01/2024, 16.36, 61.45, 56.87, 984.69
07:19:42 15/01/2024, 16.36, 61.44, 56.87, 984.62
07:19:52 15/01/2024, 16.36, 61.44, 56.84, 984.65
07:20:02 15/01/2024, 16.36, 61.44, 56.87, 984.60
07:20:13 15/01/2024, 16.36, 61.45, 56.86, 984.63
07:20:23 15/01/2024, 16.35, 61.43, 56.87, 984.59
07:20:33 15/01/2024, 16.36, 61.44, 56.88, 984.68
07:20:43 15/01/2024, 16.35, 61.43, 56.88, 984.62
07:20:53 15/01/2024, 16.37, 61.46, 56.86, 984.64
07:21:03 15/01/2024, 16.38, 61.48, 56.87, 984.60
07:21:13 15/01/2024, 16.40, 61.52, 56.79, 984.64
07:21:23 15/01/2024, 16.41, 61.53, 56.78, 984.65
07:21:33 15/01/2024, 16.42, 61.55, 56.75, 984.75
07:21:43 15/01/2024, 16.42, 61.56, 56.74, 984.62
07:21:53 15/01/2024, 16.44, 61.59, 56.71, 984.65
07:22:03 15/01/2024, 16.43, 61.58, 56.69, 984.63
07:22:13 15/01/2024, 16.45, 61.61, 56.65, 984.64
07:22:23 15/01/2024, 16.45, 61.61, 56.61, 984.64
07:22:33 15/01/2024, 16.48, 61.66, 56.59, 984.68
07:22:43 15/01/2024, 16.48, 61.66, 56.55, 984.62
07:22:53 15/01/2024, 16.49, 61.68, 56.57, 984.69
07:23:03 15/01/2024, 16.50, 61.70, 56.53, 984.61
07:23:13 15/01/2024, 16.51, 61.72, 56.50, 984.57
07:23:23 15/01/2024, 16.53, 61.76, 56.47, 984.60
07:23:33 15/01/2024, 16.53, 61.76, 56.44, 984.60
07:23:43 15/01/2024, 16.54, 61.77, 56.39, 984.55
07:23:53 15/01/2024, 16.54, 61.78, 56.39, 984.62
07:24:03 15/01/2024, 16.55, 61.80, 56.33, 984.63
07:24:13 15/01/2024, 16.57, 61.83, 56.31, 984.67
07:24:23 15/01/2024, 16.58, 61.85, 56.31, 984.68
07:24:33 15/01/2024, 16.58, 61.85, 56.27, 984.63
07:24:43 15/01/2024, 16.62, 61.92, 56.23, 984.71
07:24:53 15/01/2024, 16.62, 61.92, 56.19, 984.53
07:25:03 15/01/2024, 16.65, 61.96, 56.14, 984.53
07:25:13 15/01/2024, 16.65, 61.97, 56.12, 984.57
07:25:23 15/01/2024, 16.67, 62.01, 56.11, 984.63
07:25:34 15/01/2024, 16.70, 62.05, 56.03, 984.56
07:25:44 15/01/2024, 16.71, 62.08, 55.98, 984.55
07:25:54 15/01/2024, 16.73, 62.11, 55.94, 984.52
07:26:04 15/01/2024, 16.73, 62.11, 55.92, 984.58
07:26:14 15/01/2024, 16.75, 62.14, 55.86, 984.58
07:26:24 15/01/2024, 16.77, 62.18, 55.82, 984.61
07:26:34 15/01/2024, 16.79, 62.22, 55.76, 984.56
07:26:44 15/01/2024, 16.80, 62.25, 55.71, 984.59
07:26:54 15/01/2024, 16.82, 62.27, 55.66, 984.61
07:27:04 15/01/2024, 16.83, 62.29, 55.64, 984.66
07:27:14 15/01/2024, 16.83, 62.30, 55.64, 984.61
07:27:24 15/01/2024, 16.85, 62.33, 55.59, 984.58
07:27:34 15/01/2024, 16.87, 62.36, 55.51, 984.66
07:27:44 15/01/2024, 16.88, 62.39, 55.46, 984.66
07:27:54 15/01/2024, 16.89, 62.41, 55.44, 984.62
07:28:04 15/01/2024, 16.91, 62.45, 55.37, 984.65
07:28:14 15/01/2024, 16.94, 62.48, 55.33, 984.58
07:28:24 15/01/2024, 16.97, 62.55, 55.23, 984.63
07:28:34 15/01/2024, 16.98, 62.57, 55.18, 984.65
07:28:44 15/01/2024, 17.01, 62.62, 55.12, 984.64
07:28:54 15/01/2024, 17.04, 62.67, 55.07, 984.63
07:29:04 15/01/2024, 17.04, 62.67, 55.02, 984.68
07:29:14 15/01/2024, 17.06, 62.70, 54.98, 984.60
07:29:24 15/01/2024, 17.08, 62.75, 54.93, 984.64
07:29:34 15/01/2024, 17.11, 62.79, 54.86, 984.68
07:29:44 15/01/2024, 17.11, 62.80, 54.83, 984.66
07:29:54 15/01/2024, 17.12, 62.81, 54.79, 984.65
07:30:04 15/01/2024, 17.12, 62.82, 54.77, 984.68
07:30:14 15/01/2024, 17.14, 62.85, 54.76, 984.68
07:30:24 15/01/2024, 17.15, 62.88, 54.73, 984.70
07:30:34 15/01/2024, 17.15, 62.88, 54.73, 984.70
07:30:44 15/01/2024, 17.17, 62.90, 54.69, 984.62
07:30:55 15/01/2024, 17.19, 62.95, 54.63, 984.55
07:31:05 15/01/2024, 17.21, 62.98, 54.59, 984.62
07:31:15 15/01/2024, 17.23, 63.01, 54.53, 984.57
07:31:25 15/01/2024, 17.25, 63.04, 54.50, 984.68
07:31:35 15/01/2024, 17.27, 63.08, 54.46, 984.69
07:31:45 15/01/2024, 17.27, 63.08, 54.45, 984.66
07:31:55 15/01/2024, 17.26, 63.06, 54.42, 984.83
07:32:05 15/01/2024, 17.30, 63.13, 54.36, 984.71
07:32:15 15/01/2024, 17.32, 63.17, 54.29, 984.71
07:32:25 15/01/2024, 17.34, 63.22, 54.26, 984.70
07:32:35 15/01/2024, 17.36, 63.24, 54.22, 984.66
07:32:45 15/01/2024, 17.37, 63.27, 54.17, 984.72
07:32:55 15/01/2024, 17.30, 63.14, 54.13, 984.58
07:33:05 15/01/2024, 17.40, 63.32, 54.10, 984.67
07:33:15 15/01/2024, 17.41, 63.34, 54.05, 984.59
07:33:25 15/01/2024, 17.44, 63.39, 54.00, 984.60
07:33:35 15/01/2024, 17.45, 63.41, 53.96, 984.56
07:33:45 15/01/2024, 17.45, 63.42, 53.95, 984.60
07:33:55 15/01/2024, 17.47, 63.45, 53.90, 984.59
07:34:05 15/01/2024, 17.48, 63.46, 53.86, 984.58
07:34:15 15/01/2024, 17.51, 63.51, 53.81, 984.62
07:34:25 15/01/2024, 17.54, 63.56, 53.75, 984.62
07:34:35 15/01/2024, 17.53, 63.55, 53.73, 984.63
07:34:45 15/01/2024, 17.55, 63.59, 53.69, 984.64
07:34:55 15/01/2024, 17.57, 63.63, 53.66, 984.70
07:35:05 15/01/2024, 17.59, 63.67, 53.61, 984.62
07:35:15 15/01/2024, 17.61, 63.70, 53.53, 984.65
07:35:25 15/01/2024, 17.63, 63.74, 53.50, 984.66
07:35:35 15/01/2024, 17.64, 63.76, 53.44, 984.65
07:35:45 15/01/2024, 17.65, 63.77, 53.43, 984.68
07:35:55 15/01/2024, 17.65, 63.78, 53.40, 984.72
07:36:05 15/01/2024, 17.67, 63.81, 53.39, 984.72
07:36:15 15/01/2024, 17.69, 63.84, 53.36, 984.66
07:36:26 15/01/2024, 17.70, 63.87, 53.33, 984.58
07:36:36 15/01/2024, 17.71, 63.89, 53.31, 984.54
07:36:46 15/01/2024, 17.71, 63.89, 53.29, 984.62
07:36:56 15/01/2024, 17.74, 63.93, 53.22, 984.63
07:37:06 15/01/2024, 17.75, 63.96, 53.20, 984.60
07:37:16 15/01/2024, 17.76, 63.98, 53.18, 984.62
07:37:26 15/01/2024, 17.77, 63.99, 53.12, 984.69
07:37:36 15/01/2024, 17.77, 63.99, 53.10, 984.61
07:37:46 15/01/2024, 17.81, 64.05, 53.08, 984.63
07:37:56 15/01/2024, 17.80, 64.04, 53.06, 984.73
07:38:06 15/01/2024, 17.81, 64.05, 53.05, 984.60
07:38:16 15/01/2024, 17.83, 64.09, 53.01, 984.66
07:38:26 15/01/2024, 17.84, 64.10, 52.94, 984.65
07:38:36 15/01/2024, 17.86, 64.14, 52.93, 984.68
07:38:46 15/01/2024, 17.88, 64.19, 52.87, 984.61
07:38:56 15/01/2024, 17.90, 64.21, 52.80, 984.61
07:39:06 15/01/2024, 17.91, 64.24, 52.74, 984.58
07:39:16 15/01/2024, 17.90, 64.22, 52.75, 984.64
07:39:26 15/01/2024, 17.93, 64.27, 52.73, 984.71
07:39:36 15/01/2024, 17.93, 64.27, 52.72, 984.65
07:39:46 15/01/2024, 17.93, 64.27, 52.71, 984.65
07:39:56 15/01/2024, 17.93, 64.27, 52.70, 984.57
07:40:06 15/01/2024, 17.93, 64.28, 52.71, 984.61
07:40:16 15/01/2024, 17.96, 64.32, 52.67, 984.65
07:40:26 15/01/2024, 17.96, 64.32, 52.63, 984.62
07:40:36 15/01/2024, 17.97, 64.34, 52.62, 984.61
07:40:46 15/01/2024, 17.98, 64.37, 52.57, 984.69
07:40:56 15/01/2024, 17.99, 64.39, 52.58, 984.68
07:41:06 15/01/2024, 18.01, 64.42, 52.53, 984.67
07:41:16 15/01/2024, 18.01, 64.43, 52.50, 984.79
07:41:26 15/01/2024, 18.01, 64.43, 52.50, 984.68
07:41:36 15/01/2024, 18.03, 64.45, 52.48, 984.62
07:41:46 15/01/2024, 18.02, 64.43, 52.46, 984.69
07:41:57 15/01/2024, 18.02, 64.43, 52.46, 984.66
07:42:07 15/01/2024, 18.01, 64.42, 52.50, 984.65
07:42:17 15/01/2024, 18.01, 64.42, 52.51, 984.67
07:42:27 15/01/2024, 18.02, 64.43, 52.49, 984.58
07:42:37 15/01/2024, 18.03, 64.45, 52.46, 984.71
07:42:47 15/01/2024, 18.04, 64.47, 52.44, 984.58
07:42:57 15/01/2024, 18.05, 64.50, 52.42, 984.69
07:43:07 15/01/2024, 18.05, 64.49, 52.43, 984.63
07:43:17 15/01/2024, 18.07, 64.53, 52.36, 984.63
07:43:27 15/01/2024, 18.08, 64.54, 52.35, 984.61
07:43:37 15/01/2024, 18.10, 64.57, 52.33, 984.64
07:43:47 15/01/2024, 18.09, 64.56, 52.31, 984.61
07:43:57 15/01/2024, 18.10, 64.58, 52.29, 984.65
07:44:07 15/01/2024, 18.12, 64.61, 52.27, 984.65
07:44:17 15/01/2024, 18.13, 64.63, 52.25, 984.69
07:44:27 15/01/2024, 18.15, 64.67, 52.21, 984.68
07:44:37 15/01/2024, 18.17, 64.71, 52.18, 984.65
07:44:47 15/01/2024, 18.18, 64.73, 52.12, 984.67
07:44:57 15/01/2024, 18.18, 64.73, 52.10, 984.64
07:45:07 15/01/2024, 18.17, 64.71, 52.15, 984.68
07:45:17 15/01/2024, 18.05, 64.50, 52.01, 984.66
07:45:27 15/01/2024, 16.98, 62.57, 51.15, 984.76
07:45:37 15/01/2024, 16.50, 61.70, 48.35, 984.69
07:45:47 15/01/2024, 14.89, 58.80, 46.93, 984.70
07:45:57 15/01/2024, 14.21, 57.57, 47.70, 984.85
07:46:07 15/01/2024, 13.90, 57.02, 50.70, 984.78
07:46:17 15/01/2024, 13.64, 56.55, 50.37, 984.80
07:46:27 15/01/2024, 13.38, 56.09, 52.32, 984.83
07:46:37 15/01/2024, 13.44, 56.20, 54.53, 984.87
07:46:47 15/01/2024, 12.80, 55.05, 50.23, 984.84
07:46:57 15/01/2024, 12.21, 53.97, 54.66, 984.83
07:47:07 15/01/2024, 12.39, 54.29, 55.69, 984.84
07:47:18 15/01/2024, 12.07, 53.72, 51.31, 984.87
07:47:28 15/01/2024, 11.41, 52.54, 51.03, 984.93
07:47:38 15/01/2024, 11.36, 52.45, 54.52, 984.85
07:47:48 15/01/2024, 11.41, 52.54, 54.21, 984.76
07:47:58 15/01/2024, 11.43, 52.57, 54.05, 984.85
07:48:08 15/01/2024, 11.54, 52.76, 53.94, 984.91
07:48:18 15/01/2024, 11.77, 53.19, 53.62, 984.91
07:48:28 15/01/2024, 12.11, 53.79, 53.39, 984.83
07:48:38 15/01/2024, 12.44, 54.39, 52.97, 984.93
07:48:48 15/01/2024, 12.85, 55.13, 52.92, 984.86
07:48:58 15/01/2024, 13.15, 55.68, 52.29, 984.82
07:49:08 15/01/2024, 13.48, 56.27, 51.43, 984.75
07:49:18 15/01/2024, 13.80, 56.83, 50.63, 984.80
07:49:28 15/01/2024, 14.09, 57.36, 50.54, 984.77
07:49:38 15/01/2024, 14.37, 57.86, 50.49, 984.74
07:49:48 15/01/2024, 14.63, 58.33, 49.95, 984.70
07:49:58 15/01/2024, 14.84, 58.72, 49.47, 984.68
07:50:08 15/01/2024, 15.05, 59.09, 48.84, 984.68
07:50:18 15/01/2024, 15.24, 59.43, 48.61, 984.62
07:50:28 15/01/2024, 15.47, 59.85, 48.53, 984.60
07:50:38 15/01/2024, 15.66, 60.19, 48.52, 984.71
07:50:48 15/01/2024, 15.79, 60.41, 48.26, 984.55
07:50:58 15/01/2024, 15.91, 60.64, 47.66, 984.61
07:51:08 15/01/2024, 16.07, 60.92, 47.31, 984.63
07:51:18 15/01/2024, 16.18, 61.13, 47.02, 984.60
07:51:28 15/01/2024, 16.30, 61.34, 46.78, 984.59
07:51:38 15/01/2024, 16.41, 61.54, 46.59, 984.68
07:51:48 15/01/2024, 16.50, 61.70, 46.32, 984.60
07:51:58 15/01/2024, 16.57, 61.82, 46.12, 984.63
07:52:08 15/01/2024, 16.65, 61.97, 45.92, 984.62
07:52:18 15/01/2024, 16.71, 62.07, 45.84, 984.66
07:52:28 15/01/2024, 16.77, 62.18, 45.68, 984.61
07:52:39 15/01/2024, 16.81, 62.26, 45.60, 984.60
07:52:49 15/01/2024, 16.87, 62.37, 45.46, 984.62
07:52:59 15/01/2024, 16.90, 62.43, 45.37, 984.64
07:53:09 15/01/2024, 16.93, 62.47, 45.33, 984.68
07:53:19 15/01/2024, 16.95, 62.50, 45.33, 984.65
07:53:29 15/01/2024, 16.97, 62.55, 45.30, 984.63
07:53:39 15/01/2024, 17.01, 62.62, 45.22, 984.59
07:53:49 15/01/2024, 17.04, 62.68, 45.23, 984.58
07:53:59 15/01/2024, 17.07, 62.73, 45.18, 984.63
07:54:09 15/01/2024, 17.07, 62.73, 45.15, 984.60
07:54:19 15/01/2024, 17.10, 62.78, 45.14, 984.64
07:54:29 15/01/2024, 17.11, 62.79, 45.14, 984.63
